Year,Share_Capital,Reserves,Borrowings,Other_Liabilities,Total_Assets,Net_Block,CWIP,Investments,Other_Assets,Working_Capital,Receivables
2017,1144.0,67838.0,0.0,14166.0,83148.0,14179.0,1365.0,16423.0,51181.0,37015.0,12322.0
2018,1088.0,63835.0,0.0,14426.0,79349.0,12574.0,1606.0,12163.0,53006.0,38580.0,13142.0
2019,2170.0,62778.0,0.0,19118.0,84066.0,15710.0,1388.0,11261.0,55707.0,36589.0,14827.0
2020,2122.0,63328.0,4633.0,21717.0,91800.0,23789.0,954.0,8792.0,58265.0,36548.0,18487.0
2021,2124.0,74227.0,5325.0,25835.0,107511.0,25505.0,922.0,14205.0,66879.0,41044.0,19294.0
2022,2098.0,73252.0,5474.0,35905.0,116729.0,25800.0,416.0,20324.0,70189.0,34284.0,22698.0
2023,2069.0,73338.0,8299.0,40890.0,124596.0,29225.0,288.0,19478.0,75605.0,34715.0,25424.0
2024,2071.0,86045.0,8359.0,39545.0,136020.0,27622.0,293.0,24623.0,83482.0,43937.0,30193.0
2025,2073.0,93745.0,8227.0,43750.0,147795.0,30961.0,814.0,23541.0,92479.0,48729.0,31158.0
2026,2024.0,90828.0,9176.0,52260.0,154288.0,33770.0,526.0,21880.0,98112.0,45852.0,35234.0
