Year,Revenue,Operating_Expenses,Operating_Profit,Other_Income,Depreciation,Interest,PBT,Tax,Net_Income,EPS
2017,68484.0,49880.0,18604.0,3050.0,1703.0,0.0,19951.0,5598.0,14353.0,31.243605650971944
2018,70522.0,51700.0,18822.0,3311.0,1863.0,0.0,20270.0,4241.0,16029.0,36.69474840895563
2019,82675.0,62505.0,20170.0,2882.0,2011.0,0.0,21041.0,5631.0,15404.0,35.258303005333154
2020,90791.0,68524.0,22267.0,2803.0,2893.0,170.0,22007.0,5368.0,16594.0,38.96219769899037
2021,100472.0,72583.0,27889.0,2201.0,3267.0,195.0,26628.0,7205.0,19351.0,45.41741967282371
2022,121641.0,90150.0,31491.0,2295.0,3476.0,200.0,30110.0,7964.0,22110.0,52.55901300306653
2023,146767.0,111637.0,35130.0,2701.0,4225.0,284.0,33322.0,9214.0,24095.0,58.07983416092176
2024,153670.0,117245.0,36425.0,4711.0,4678.0,470.0,35988.0,9740.0,26233.0,63.19834252812643
2025,162990.0,123754.0,39236.0,3600.0,4812.0,416.0,37608.0,10858.0,26713.0,64.31753063828764
2026,178650.0,136370.0,42280.0,3033.0,4902.0,416.0,39995.0,10521.0,29440.0,72.59098530427063
